idx,audiocap_id,original_caption,neg_minimal_semantic_flip_gpt,neg_meaning_flip_claude,neg_visual_only_details,neg_reasoning_inference,neg_hallucinations,neg_quantitative_distortion,neg_partial_contradiction,neg_causal_inconsistency,neg_acoustic_scale_violation,neg_scene_coherence_violation,neg_different_words_different_meaning,neg_reasoning,neg_visual_info,neg_partial_hallucinations,neg_missing_info,neg_wrong_lex_sim,neg_wrong_lex_diff
0,103549,Constant rattling noise and sharp vibrations,Constant silence and gentle stillness,Constant rattling noise and gentle vibrations,Constant rattling noise and sharp vibrations from a rusty metal box sitting on a wooden table in a dimly lit garage.,"Constant rattling noise and sharp vibrations, likely caused by a loose part in the machinery that the operator is ignoring out of frustration.",Constant rattling noise and sharp vibrations from a loose exhaust pipe on a 2015 Honda Civic driving over a bumpy country road at dusk.,Constant rattling noise and barely perceptible vibrations,Silent constant rattling noise and sharp vibrations,Constant rattling noise and sharp vibrations,A single falling feather overpowers the constant rattling noise and sharp vibrations.,Constant rattling noise and sharp vibrations while a frozen lake creaks underfoot.,Gentle wind rustles through tall grass as distant thunder rumbles across the valley.,"Constant rattling noise and sharp vibrations, likely caused by a loose part in the machinery that the operator is ignoring out of frustration.",Constant rattling noise and sharp vibrations from a rusty metal box sitting on a wooden table in a dimly lit garage.,Constant buzzing noise and sharp vibrations,Mechanical noise is heard.,Constant rattling noise and gentle vibrations,A gentle breeze rustles through autumn leaves as distant church bells chime softly.
1,103548,A rocket flies by followed by a loud explosion and fire crackling as a truck engine runs idle,A rocket falls by followed by a loud explosion and fire crackling as a truck engine runs idle,A rocket flies by followed by a loud explosion and fire crackling as a truck engine stops idle,A silver rocket flies by followed by a loud explosion and fire crackling as a black pickup truck engine runs idle on a dusty desert road,"A rocket flies by followed by a loud explosion and fire crackling as a truck engine runs idle, likely because the rocket's launch triggered a nearby fuel leak, causing panic among onlookers who are now scrambling to escape.","A SpaceX Falcon 9 rocket streaks across the twilight sky, followed by a thunderous explosion and crackling flames as a rusty 1998 Ford F-150 idles nearby with its headlights flickering.",A rocket flies by followed by a soft explosion and fire crackling as a truck engine runs idle,A rocket flies by followed by a silent explosion and fire crackling as a truck engine runs idle,A loud explosion and fire crackling as a truck engine runs idle followed by a rocket flies by,A mouse's squeak drowns out a rocket flying by followed by a loud explosion and fire crackling as a truck engine runs idle,A rocket flies by followed by a loud explosion and fire crackling as a truck engine runs idle while snow falls silently on a frozen lake.,Wind whistles through tall grass as distant thunder rumbles and a bicycle bell chimes softly nearby,"A rocket flies by followed by a loud explosion and fire crackling as a truck engine runs idle, likely because the rocket's launch triggered a nearby fuel leak, causing panic among onlookers who are now scrambling to escape.",A silver rocket flies by followed by a loud explosion and fire crackling as a black pickup truck's engine runs idle on a dusty desert road,A jet flies by followed by a loud explosion and fire crackling as a truck engine runs idle,A rocket flies by.,A rocket flies by followed by a loud explosion and fire crackling as a truck engine stops idle,Wind whistles through tall grass as distant thunder rumbles and a bicycle bell chimes softly nearby.
2,103541,Humming and vibrating with a man and children speaking and laughing,Humming and vibrating with a man and children staying silent and crying,Humming and vibrating with a man and children speaking and crying,Humming and vibrating with a bearded man in a blue shirt and three young children wearing colorful clothes speaking and laughing next to a window in a sunlit room.,"Humming and vibrating with a man and children speaking and laughing, likely because they are enjoying a playful moment together, perhaps during a family game or ride.","Humming and vibrating with a man and children speaking and laughing in a cozy living room, where a golden retriever rests by the fireplace and the children giggle over a board game.",Humming and vibrating with a man and one child speaking and laughing,Silent humming and vibrating with a man and children speaking and laughing,Humming and vibrating with a man and children speaking and laughing,A single cricket's chirp overpowers the humming and vibrating with a man and children speaking and laughing,Humming and vibrating with a man and children speaking and laughing while owls hoot in the distance.,Wind howls through narrow alleyways as distant thunder rumbles and a lone bicycle bell dings faintly.,"Humming and vibrating with a man and children speaking and laughing, likely because they are enjoying a playful moment together, perhaps during a family game or outing.",A bearded man in a blue shirt is humming and vibrating while sitting on a wooden porch with two young children in colorful clothes speaking and laughing next to him.,Humming and vibrating with a woman and children speaking and laughing,Humming and vibrating are heard.,Humming and vibrating with a man and children speaking and crying,Wind howls through narrow alleyways as distant thunder rumbles and a lone bicycle bell rings faintly.
3,103540,A train running on a railroad track followed by a vehicle door closing and a man talking in the distance while a train horn honks and railroad crossing warning signals ring,A train standing on a railroad track followed by a vehicle door opening and a man silent in the distance while a train horn quiets and railroad crossing warning signals mute,A train running on a railroad track followed by a vehicle door opening and a man silent in the distance while a train horn stops and railroad crossing warning signals cease,A silver passenger train running on a rusty railroad track followed by a vehicle door closing and a bearded man in a blue jacket talking in the distance while a train horn honks and railroad crossing warning signals ring next to a wooden fence.,"A train running on a railroad track followed by a vehicle door closing and a man talking in the distance while a train horn honks and railroad crossing warning signals ring, because the conductor is trying to alert nearby drivers before the train passes through the crossing, and the man in the distance is nervously waiting for his ride to arrive.","A vintage steam locomotive rumbles along a rusted railroad track through a misty countryside, followed by the metallic clunk of a 1998 Ford sedan door slamming shut, while a weary traveler in a wool coat mutters to himself in the distance — all underscored by the deep, echoing blast of a classic GE train horn and the frantic, rhythmic chime of a crossing gate’s warning bells.",A train running on a railroad track followed by a vehicle door closing and a man talking in the distance while a train horn honks softly and railroad crossing warning signals ring,A train running on a railroad track followed by a vehicle door closing and a man talking in the distance while a silent train horn honks and railroad crossing warning signals ring,A vehicle door closing and a man talking in the distance while a train horn honks and railroad crossing warning signals ring followed by a train running on a railroad track,A falling leaf drowns out a train running on a railroad track followed by a vehicle door closing and a man talking in the distance while a train horn honks and railroad crossing warning signals ring,A train running on a railroad track followed by a vehicle door closing and a man talking in the distance while a train horn honks and railroad crossing warning signals ring as ocean waves crash nearby.,"Wind howls through canyon walls as rocks tumble down a steep slope, accompanied by the distant cry of a hawk circling overhead.","A train running on a railroad track followed by a vehicle door closing and a man talking in the distance while a train horn honks and railroad crossing warning signals ring, because the conductor is trying to alert nearby drivers before the train passes through the crossing, and the man in the distance is nervously waiting for his ride to arrive.",A blue freight train running on a rusty railroad track followed by a vehicle door closing and a bearded man in a suit talking in the distance while a train horn honks and railroad crossing warning signals ring next to a wooden signal box.,A train running on a railroad track followed by a vehicle door closing and a woman talking in the distance while a train horn honks and railroad crossing warning signals ring,A train horn honks in the distance.,A vehicle running on a railroad track followed by a train door closing and a man talking in the distance while a vehicle horn honks and railroad crossing warning signals ring,"Wind howls through narrow alleyways as rain taps rhythmically on metal awnings, accompanied by the distant clatter of a garbage truck rolling over cobblestones."
4,103542,"Food is frying, and a woman talks","A woman is frying, and food talks","A woman is frying, and food talks","Food is frying in a stainless steel pan on a kitchen stove, and a woman wearing a red apron talks while standing next to a window.","Food is frying, and a woman talks happily, trying to entertain guests while cooking dinner.",Crispy bacon sizzles in a cast-iron skillet while a cheerful woman in a red apron chats animatedly about her grandmother’s recipe in a cozy farmhouse kitchen.,"Food is frying, and a woman talks continuously for several minutes","Silent food is frying, and a woman talks","A woman talks, and food is frying",A mouse's squeak drowns out food frying and a woman talking.,"Food is frying, and a woman talks while ocean waves crash nearby.",Wind howls through barren trees as distant thunder rumbles overhead.,"Food is frying, and a woman talks happily, trying to entertain guests while cooking dinner.","Food is frying in a stainless steel pan on a kitchen stove, and a woman wearing a red apron talks while standing next to a window.","Food is frying, and a man talks",Food is frying.,"A woman is frying, and food talks",A train whistle echoes through a valley as gravel crunches underfoot.
5,103545,A man speaks as birds chirp and dogs bark,Birds speak as men chirp and dogs bark,Birds speak as a man chirps and dogs bark,A tall bearded man wearing a blue shirt speaks in a sunlit garden as birds chirp and dogs bark nearby.,"A man speaks as birds chirp and dogs bark, likely trying to calm the animals during a morning walk in the park.",A middle-aged American man speaks warmly into a vintage microphone while sparrows chirp from an oak tree and two Labrador retrievers bark playfully in a sunlit park.,A man speaks as birds chirp and one dog barks,A man speaks as birds chirp and silent dogs bark,A man speaks as birds chirp and dogs bark,A mouse's squeak drowns out a man speaking as birds chirp and dogs bark,A man speaks as birds chirp and dogs bark while heavy rain pours overhead.,Metallic gears grind in a dim factory as steam hisses from pipes overhead.,"A man speaks as birds chirp and dogs bark, likely trying to calm the animals while feeling slightly overwhelmed by the noise.",A tall bearded man wearing a blue shirt speaks in a sunlit park as birds chirp and dogs bark nearby.,A man speaks as wind rustles leaves and dogs bark,Birds chirp in the background.,Birds speak as a man chirps and dogs bark,Metallic clinks echo as steam hisses from a pressure valve in a factory.
6,103544,A large truck driving by as an emergency siren wails and truck horn honks,A large truck driving by as an emergency siren cheers and truck horn whispers,An emergency siren driving by as a large truck wails and truck horn honks,A large red semi-truck driving by on a wet city street as an emergency siren wails and truck horn honks,"A large truck driving by as an emergency siren wails and truck horn honks, the driver honking in frustration because the siren is blocking the road ahead.","A red semi-truck hauling construction materials drives past a downtown intersection as a police siren wails urgently and the truck's air horn blares loudly, startling nearby pedestrians.",A large truck driving by as an emergency siren wails and truck horn honks softly,A large truck driving by as an emergency siren wails and truck horn honks silently,A large truck driving by as truck horn honks and an emergency siren wails,A falling leaf drowns out a large truck driving by as an emergency siren wails and truck horn honks,A large truck driving by as an emergency siren wails and truck horn honks while dry leaves crackle underfoot.,Wind rustles through tall grass as distant thunder rumbles and a single crow calls from a tree.,"A large truck driving by as an emergency siren wails and truck horn honks, likely because the driver is trying to clear the road for an approaching ambulance in a hurry.",A large red semi-truck driving by on a wet city street as an emergency siren wails and truck horn honks,A large truck driving by as a police radio crackles and truck horn honks,A large truck driving by.,An emergency siren driving by as a large truck wails and truck horn honks,Wind rustles through tall pine trees as a distant owl hoots under a starry night sky.
7,103547,A child yelling as a young boy talks during several slaps on a hard surface,A child laughing as a young boy talks during several slaps on a hard surface,A young boy yelling as a child talks during several slaps on a hard surface,A child yelling as a young boy in a blue shirt talks during several slaps on a wooden table,"A child yelling as a young boy talks during several slaps on a hard surface, the child likely frustrated and trying to interrupt, while the boy continues speaking nervously, perhaps unaware of the rising tension.",A toddler in a red shirt yells frantically while a 7-year-old boy in blue jeans talks nervously during several sharp slaps on a wooden kitchen table in a sunlit suburban home.,A child yelling as a young boy talks during one slap on a hard surface,A silent child yelling as a young boy talks during several slaps on a hard surface,A child yelling as several slaps on a hard surface during a young boy talks,A mouse's squeak drowns out a child yelling as a young boy talks during several slaps on a hard surface,A child yelling as a young boy talks during several slaps on a hard surface while ocean waves crash nearby.,Wind howls through narrow alleyways as distant thunder rumbles and a streetlamp flickers on and off.,"A child yelling as a young boy talks during several slaps on a hard surface, the child likely reacting in frustration because the boy is interrupting or ignoring them, while the boy continues speaking, possibly trying to explain something he’s excited about.",A child yelling in a red shirt as a young boy in a blue hoodie talks during several slaps on a wooden table,A child yelling as a young boy talks during several thuds on a hard surface,A child is yelling.,A young boy yelling as a child talks during several slaps on a hard surface,Wind howls through narrow alleyways as distant thunder rumbles and a streetlamp flickers on and off.
8,103546,"An engine rumbles loudly, then an air horn honk three times","An engine rumbles loudly, then an air horn whispers three times","An engine rumbles loudly, then an air horn is silent three times","A black pickup truck's engine rumbles loudly, then an air horn honks three times while parked next to a chain-link fence.","An engine rumbles loudly, then an air horn honks three times because the driver is impatiently trying to get attention before a race starts.","A diesel engine rumbles loudly in a foggy industrial yard, then a vintage train air horn honks three times with a deep, echoing resonance.","An engine rumbles loudly, then an air horn honk once","An engine rumbles loudly, then a silent air horn honk three times","An air horn honk three times, then an engine rumbles loudly","A cricket's chirp overpowers an engine rumbling loudly, then an air horn honk three times","An engine rumbles loudly, then an air horn honk three times while ocean waves crash nearby.",Wind whistles through tall grass as distant thunder rumbles and a single crow calls.,"An engine rumbles loudly, then an air horn honk three times because the driver is impatiently trying to get attention before a race starts.","A black pickup truck's engine rumbles loudly, then an air horn honks three times while parked next to a chain-link fence.","An engine rumbles loudly, then a train whistle blows three times",An engine rumbles loudly.,"An engine rumbles loudly, then an air horn is silent three times",Wind whistles through tall grass as distant thunder rumbles and leaves rustle violently.
9,102819,A person snoring with another man speaking,A person speaking with another man snoring,A person speaking with another man snoring,"A bearded man in a white t-shirt is snoring while lying on a bed, with another young man wearing glasses speaking beside him in a dimly lit bedroom.","A person snoring with another man speaking, likely trying to wake them up because they're late for an important meeting.","A middle-aged man in a striped pajama is snoring loudly in a dimly lit bedroom while another man, possibly his brother, speaks softly in a soothing tone beside him.",A person snoring with one man speaking,A silent person snoring with another man speaking,A person snoring with another man speaking,A mouse's squeak drowns out a person snoring with another man speaking.,A person snoring with another man speaking while a packed stadium roars in the background.,Wind howls through narrow alleyways as distant thunder rumbles overhead.,"A person snoring with another man speaking, likely trying to wake them up because they're late for an important meeting.","A bearded man in a white t-shirt is snoring while lying on a bed, with another young man wearing a suit speaking beside a window.",A person snoring with another man coughing,A person is snoring.,A person speaking with another man snoring,Wind howls through narrow alleyways as distant thunder rumbles overhead.
