idx,audiocap_id,original_caption,pos_longer,pos_paraphrase,pos_active_passive,pos_split_sentences,pos_figurative_literal
0,103549,Constant rattling noise and sharp vibrations,"There is a continuous rattling noise occurring alongside sharp, pronounced vibrations.",Persistent clattering accompanied by piercing tremors,Sharp vibrations and a constant rattling noise are heard.,Constant rattling noise. Sharp vibrations.,"A constant rattling fills the air, shaking everything with sharp vibrations."
1,103548,A rocket flies by followed by a loud explosion and fire crackling as a truck engine runs idle,"A rocket is seen flying by, after which there follows a loud explosion accompanied by the sound of fire crackling, while simultaneously a truck engine is running in idle mode.","A roaring blast and the snap of flames follow a soaring rocket, while a truck’s motor hums steadily nearby",A loud explosion and fire crackling are followed by a rocket flying by as a truck engine runs idle,"A rocket flies by. This is followed by a loud explosion. Fire is crackling. At the same time, a truck engine runs idle.","A rocket streaks past, then a thunderous boom erupts, fire crackling like dry twigs, while a truck engine hums steadily nearby."
2,103541,Humming and vibrating with a man and children speaking and laughing,"There is a humming sound accompanied by a vibrating sensation, and in the same space, a man and children can be heard speaking and emitting laughter.",The low hum and buzz mingle with the sounds of a male and young ones conversing and chuckling,A man and children are heard speaking and laughing while humming and vibrating occur.,"Humming and vibrating. At the same time, a man and children are speaking and laughing.",A low hum and gentle vibration fill the space as a man and children chat and laugh.
3,103540,A train running on a railroad track followed by a vehicle door closing and a man talking in the distance while a train horn honks and railroad crossing warning signals ring,"A train is in motion, traveling along a railroad track, and subsequent to that, the sound of a vehicle door being closed can be heard, while at the same time a man is speaking from a distant location, and concurrently a train horn is emitting its characteristic honking sound and the railroad crossing warning signals are producing their ringing auditory alert.","The rumble of a train on rails gives way to a car door shutting, as distant male speech overlaps with a horn's blast and the clanging of crossing alerts.","A railroad track is being run on by a train, followed by a vehicle door being closed and a man being heard talking in the distance while a train horn is honked and railroad crossing warning signals are ringing.","A train is running on a railroad track. A vehicle door closes. A man is talking in the distance. At the same time, a train horn honks and railroad crossing warning signals ring.","A train rumbles along the tracks, then a vehicle door slams shut; a man’s voice drifts from afar as a train horn blares and crossing bells chime in the background."
4,103542,"Food is frying, and a woman talks","The sound of food being fried is present, and simultaneously a woman is producing spoken vocalizations.",The sizzle of cooking sustenance accompanies a female's conversation,"Someone is frying food, and a woman talks.","Food is frying. At the same time, a woman talks.",The sizzle of frying food fills the air as a woman's voice weaves through it.
5,103545,A man speaks as birds chirp and dogs bark,"A man is heard speaking, while at the same time birds are producing chirping sounds and dogs are emitting barking noises.","Amid the yelps of canines and the chirping of birds, a guy is conversing",Speech is heard from a man as birds chirp and dogs bark,"A man speaks. At the same time, birds chirp and dogs bark.",A man's voice weaves through the chirping of birds and the barking of dogs.
6,103544,A large truck driving by as an emergency siren wails and truck horn honks,"A large truck is driving by, and during this time an emergency siren is wailing while a truck horn is honking.",The wail of an emergency siren and the blare of a truck’s horn rise as a sizable vehicle passes by,A large truck is being driven by as an emergency siren wails and a truck horn is honked.,"A large truck is driving by. At the same time, an emergency siren wails and a truck horn honks.",A large truck rumbles past as an emergency siren wails and its horn rings out.
7,103547,A child yelling as a young boy talks during several slaps on a hard surface,"A child is emitting yelling sounds while a young boy is speaking, and during this time there are several instances of slapping occurring on a hard surface.","Amid sharp impacts against a rigid surface, a youngster vocalizes forcefully while another youth converses",A young boy talks as a child is yelled at during several slaps on a hard surface,"A child is yelling. At the same time, a young boy is talking. Several slaps occur on a hard surface.","A child's yell cuts through the air as a young boy talks, punctuated by several sharp slaps on a hard surface"
8,103546,"An engine rumbles loudly, then an air horn honk three times","An engine is producing a loud rumbling sound, and then an air horn emits a honking noise three separate times.",A forceful engine growl gives way to three sharp blasts from a pneumatic horn,"Loud rumbling is produced by an engine, then three honks are emitted by an air horn.","An engine rumbles loudly. Then, an air horn honks three times.","An engine rumbles loudly, then an air horn rings out three times."
9,102819,A person snoring with another man speaking,A person is emitting snoring sounds while another man is speaking.,The sound of a sleeper's rhythmic breathing is joined by the voice of a male conversing,Snoring is heard from a person while another man speaks.,"A person is snoring. At the same time, another man is speaking.",A person's snoring fills the air as another man speaks nearby.
10,103938,Thunder and a gentle rain,"The sound of thunder is present, accompanied by the gentle patter of rain falling.",The rumble of distant thunder accompanies a soft patter of falling water,A gentle rain and thunder can be heard.,"Thunder. At the same time, a gentle rain.",Thunder rumbles while a gentle rain patters down.
11,103939,A woman talks and a baby whispers,"A woman is engaged in talking, and simultaneously a baby is producing soft whispering sounds.",The utterance of a female is accompanied by the hushed sounds of an infant,Speech is produced by a woman and whispering is done by a baby.,"A woman talks. At the same time, a baby whispers.",A woman's voice carries through the space while a baby's whisper drifts beneath it.
12,103543,A man talking as a stream of water trickles in the background,"A man is heard speaking, while in the background there is the continuous sound of a stream of water trickling.",The murmur of a person is heard while water drips softly behind the scene,A stream of water trickles in the background as a man talks.,"A man is talking. At the same time, a stream of water trickles in the background.",A man's voice drifts over the gentle trickle of water in the background.
13,104278,A person briefly talks followed quickly by toilet flushing and another voice from another person,"A person is heard briefly speaking, after which there is a quick succession of the sound of a toilet being flushed, followed immediately by the voice of another person.","After a short burst of speech from one individual, a flush echoes and a second voice emerges",Brief talking by a person is followed quickly by toilet flushing and another voice from another person.,"A person briefly talks. Quickly after, a toilet flushes. Another voice from a different person is heard.","A person's voice flickers briefly, then the flush of a toilet drowns it out, followed by another voice cutting in."
14,104279,A woman singing then choking followed by birds chirping,"A woman is heard singing, and then she is producing sounds indicative of choking, followed by the audible chirping of birds.","After a female vocalizes melodically and abruptly gasps, the chirps of avians emerge.","Singing by a woman, then choking, followed by chirping of birds.","A woman is singing. Then she chokes. After that, birds chirp.","A woman's singing catches in her throat, then birds chirp through the quiet."
15,104276,Machinery banging and hissing,There are sounds of machinery producing banging noises and also emitting hissing sounds.,The clatter and steamy exhalations of mechanical equipment,Banging and hissing are produced by machinery.,Machinery is banging. Machinery is hissing.,"Machinery clatters and hisses, filling the air with metallic noise."
16,104277,A person talking which later imitates a couple of meow sounds,"A person is engaged in talking, and subsequently produces vocalizations that imitate a couple of meow sounds.","Someone vocalizes, then mimics a few feline yowls afterward",A couple of meow sounds are imitated by a person talking.,"A person is talking. Later, the person imitates a couple of meow sounds.","A person's voice fills the air, then playfully mimics a couple of meows."
17,104274,Rain is falling continuously,"Rain is falling in a continuous, unbroken manner, persisting without interruption.",A steady patter of water descends from above,Continuous falling of rain can be heard.,Rain is falling continuously.,Rain fills the air with a steady patter.
18,104275,An infant crying followed by a man laughing,"There is the sound of an infant crying, and after that, a man can be heard producing laughter sounds.",The wails of a baby give way to the chuckles of a male,A man laughs after an infant cries.,"An infant is crying. After that, a man laughs.","An infant's cry fills the air, then a man's laughter rings out."
19,104272,A man talking as a door slams shut followed by a door creaking,"A man is heard talking, and then a door is heard slamming shut, followed by the sound of a door creaking.","The slam of a door, then its creak, occurs while a male is conversing",A door slamming shut followed by a door creaking is heard as a man talks.,"A man is talking. A door slams shut. After that, a door creaks.","A man's voice trails off as a door slams shut, then a door creaks open in response."
20,104270,Whistling with wind blowing,There is the sound of whistling occurring simultaneously with the wind blowing.,The sound of whistling emerges as air rushes past,Wind blowing is accompanied by whistling.,"Whistling. At the same time, wind is blowing.",Whistling rides the wind as it blows through the air.
21,104271,Vehicles passing by slowly together with distant murmuring,"There are vehicles moving past at a slow pace, accompanied by the sound of murmuring that is coming from a distance.",The low hum of far-off voices mingles with the gradual roll of nearby cars,Distant murmuring is heard together with vehicles passing by slowly.,"Vehicles are passing by slowly. At the same time, there is distant murmuring.","Vehicles glide by slowly, their hum blending with distant murmuring that drifts through the air."
